review,sentiment
おかげでゆっくり休めました。,positive
とても清潔感のあるお部屋でした。,positive
部屋は和洋室でした。,neutral
とても清潔なホテルでした。,positive
とても親切な対応でした。,positive
ラッキーです。,positive
とても快適に過ごさせて頂きました。,positive
安定のホテルです。,positive
露天風呂からの景色は最高でした。,positive
ケーキも美味しかったです。,positive
サービスもいいです。,positive
かなりのリピーターです。,positive
和室でした。,neutral
駅も近くて便利でした。,positive
加湿器もありました。,positive
コストパフォーマンスが素晴らしいです。,positive
コンビニも近かったです。,neutral
大変満足させて頂きました。,positive
初めて利用です。,neutral
って感じだった。,neutral
部屋も綺麗で使いやすかったです。,positive
長々と失礼しました。,neutral
人気なんですね。,positive
定宿にします。,positive
日頃の疲れを癒すことができました。,positive
ゆっくりしました。,positive
朝食も和食で美味しかったです。,positive
ちょっと寂しかったです。,negative
快眠できました。,positive
その心遣いが嬉しかったです。,positive
感じ悪かったです。,negative
対応はとても良かったです。,positive
何度もおかわりしてしまいました。,positive
部屋は静かでゆっくり休めました。,positive
ホテルは良かったです。,positive
とても気に入ってます。,positive
食後のコーヒーも美味しかったです。,positive
接客が丁寧で良かったです。,positive
値段も手頃で良かったです。,positive
朝食もバイキング形式で美味しかったです。,positive
二人とも大満足でした。,positive
居心地よかったです。,positive
大大大満足です。,positive
値段は安いと思います。,positive
一人旅行で利用しました。,neutral
味も量も大満足でした。,positive
とても安く泊まれました。,positive
きっとまた利用します。,positive
来月も利用します。,positive
リーズナブルなホテルです。,positive
本当に近いです。,positive
寝るだけなので十分です。,neutral
が感想です。,neutral
立地で選びました。,neutral
朝食は食べませんでした。,negative
外観は古いです。,negative
寝不足です。,negative
良かった所。,neutral
コーヒーのサービスが嬉しかったです。,positive
とても素敵なペンションでした。,positive
普通に美味しいです。,positive
お待ちしておりました。,neutral
卓球も楽しめました。,positive
安心して利用出来ます。,positive
家族旅行として利用しました。,neutral
朝食がオススメです。,positive
毎年行きたいです。,positive
駅からは近くて便利です。,positive
場所が分かりにくい。,negative
それなりです。,neutral
マッサージチェアもありました。,positive
部屋から見える景色も最高でした。,positive
朝食を美味しく頂きました。,positive
また行こうかな。,positive
申し分ないホテルです。,positive
ただ残念だったのが...,negative
ありがとうございました!!!!!,positive
窓を開けて寝ました。,neutral
安心してください。,neutral
とても綺麗で良いホテルでした。,positive
とても綺麗で感動しました。,positive
フロントの方の感じが良かったです。,positive
できればまた利用したいです。,positive
部屋が暑かった。,negative
なので、☆,neutral
思わず笑ってしまいました。,neutral
(2回目),neutral
誕生日プランで宿泊しました。,neutral
笑また利用したいと思います。,positive
感服しました。,positive
2年ぶり?,neutral
結論から言うと大満足です。,positive
大人の宿です。,neutral
毎回利用したいです。,positive
部屋はとても清潔で良かったです。,positive
テンション下がりました。,negative
素泊まりには最適です。,positive
設備も充実。,positive
チェックインに時間がかかりました。,negative
間違いないホテルです。,positive
掃除が不十分。,negative
リベンジします。,neutral
コンビニも近いし便利です。,positive
遅すぎる。,negative
売店も充実していました。,positive
空調も良かったです。,positive
部屋は清潔で機能的。,positive
朝食は感動しました。,positive
また利用したいなと思っています。,positive
さすが草津!,positive
迷わず予約しました。,positive
まだ新しいホテルです。,positive
足湯もありました。,neutral
「また来たい!,positive
内湯も良かったです。,positive
朝食に満足しました。,positive
天然温泉は最高でした。,positive
な気がしました。,neutral
トリプルで利用しました。,neutral
説明も分かりやすかったです。,positive
眺望はありません。,negative
豚汁も美味しかったです。,positive
隣の部屋の音が聞こえる。,negative
展望風呂は最高です。,positive
設備もよかったです。,positive
とても素晴らしい接客でした。,positive
接客は悪くない。,neutral
全てにおいて良かったです!,positive
総合評価は満足です。,positive
スタッフさんがとても親切でした。,positive
観光にも最適です。,positive
価格は満足です。,positive
盛り付けもきれい。,positive
次回の利用は?,neutral
干物も美味しかったです。,positive
空気清浄機がない。,negative
駅前の好立地。,positive
しかもボリューム満点!,positive
東京一人旅で利用しました。,neutral
朝食がすばらしい。,positive
朝食もボリュームたっぷり。,positive
清潔感のあるホテルで良かったです。,positive
馬刺し美味しかったです。,positive
おかしいです。,negative
立地的に仕方ないですが。,negative
フロントの対応もとても丁寧でした。,positive
料理は期待通りでした。,neutral
ゆっくり過ごせた。,positive
好みの問題ですが。,neutral
結局入れなかった。,negative
リゾートホテルではありません。,neutral
また機会があれば...。,neutral
お風呂が一番良かったです。,positive
鮎の塩焼きが最高でした。,positive
イルミネーションも良かったです。,positive
朝食も文句無しです。,positive
いまいちです。,negative
朝食もボリュームあり。,positive
部屋は広くとても快適でした。,positive
美味しく完食しました。,positive
いつ行っても癒されます。,positive
朝食付きをお勧めします。,neutral
角部屋だったから?,neutral
和食が美味しかったです。,positive
繁華街のど真ん中のホテルです。,neutral
紅葉の時期に行きました。,neutral
バスルームも広く快適でした。,positive
期待外れだった。,negative
お風呂がカビだらけ。,negative
思ったより綺麗でした。,positive
立地はまずまず。,neutral
そんなに気になりませんでした。,positive
清潔でゆっくり出来ました。,positive
でも清潔です。,positive
全てにおいて大変満足でした。,positive
温度もちょうど良く気持ちよかったです。,positive
朝夕のバイキングは美味しかったです。,positive
そして朝食も美味しかったです。,positive
ちょっと物足りない。,negative
こちらも大満足でした。,positive
部屋も広いしきれいです。,positive
露天風呂は本当に最高でした。,positive
駅からも近く利用しやすいです。,positive
花火も楽しめました。,positive
後から知りました。,neutral
という方にはおススメです。,positive
立地は問題なしです。,positive
食べたかったなぁ。,negative
コストパフォーマンスとても良いと思います。,positive
天気は雨。,negative
って感じでよかったです。,positive
安ければまた利用します。,neutral
夏の旅行でお世話になりました。,neutral
スタッフの方々の対応がとても気持ち良かったです。,positive
お料理も堪能できました。,positive
口コミ通りとても美味しかったです。,positive
ちょっと残念...。,negative
必ず伺います。,positive
ホテルはまた利用したいと思います。,positive
・安い。,positive
家族みんなで感動しました。,positive
東京への旅行で利用しました。,neutral
予想外に良かったです。,positive
朝食は和食バイキング。,neutral
部屋も広くゆっくり休めました。,positive
次回もぜひ宿泊したいと思いました。,positive
というくらい美味しかったです。,positive
朝食はバイキング形式で美味しくいただきました。,positive
どこも清潔でした。,positive
親切に対応していただきありがとうございました。,positive
お風呂も大きくゆっくり入れました。,positive
文句無しのホテルです。,positive
大満足の朝食でした。,positive
全体的には楽しく過ごせました。,positive
でも.....,neutral
1人3.,neutral
何より接客。,neutral
ロビーは広々。,positive
それも良かったです。,positive
きれいなホテルで接客も丁寧でした。,positive
とても使いにくかったです。,negative
夕食も朝食も美味しい。,positive
気になった点としては...,neutral
とても親切に感じました。,positive
朝食は種類も多くよかった。,positive
おかずは美味しかったです。,positive
また利用したいですありがとうございました。,positive
まあ満足です。,positive
されていて快適でした。,positive
夕食は美味しく頂けました。,positive
家族と宿泊しました。,neutral
リニューアルされて綺麗です。,positive
はあったものの美味しく頂きました。,neutral
蟹を食べに行きました。,neutral
交通の便もよく助かりました。,positive
フロントの女性がとても感じが良かったです。,positive
登山で利用しました。,neutral
値段も安かったのでまた利用したいと思います。,positive
泊まる分には問題ありません。,neutral
静かな環境でのんびりできました。,positive
マンションのようなホテルでした。,positive
親切に対応してくださり感謝しています。,positive
があり残念でした。,negative
メニューも豊富で良かったです。,positive
駅からも近いし良かったです。,positive
ここは最高です。,positive
理解できません。,negative
食事は大満足でした!,positive
はじめて出張で利用しました。,neutral
最高ですよね。,positive
また機会があったら利用させていただきたいです!,positive
露天風呂は最高です!!,positive
夕食も良かった。,positive
清潔で気持ち良く利用できました。,positive
餅っ!,neutral
快適に過ごせてよかったです。,positive
まず部屋が綺麗。,positive
お風呂も広くて疲れが取れました。,positive
感激しましたっ!,positive
かなりゆっくり出来ました。,positive
また夏に来たいです,positive
風呂が汚い。,negative
無料の朝食が美味しかったです。,positive
子供と利用させて頂きました。,neutral
ゆっくり過ごせてリフレッシュできました。,positive
スタッフの対応も良いと感じました。,positive
とにかくすごい!,neutral
結婚記念日旅行に利用させていただきました。,neutral
出張で利用させてもらっています。,neutral
駅から近くてよかった。,positive
ヨーグルトが欲しかった。,negative
スタッフの対応も良し。,positive
部屋はビジネスホテル。,neutral
男性スタッフいいですね。,positive
久しぶりに夫婦で宿泊しました。,neutral
お風呂もサイコーでした。,positive
それも楽しかったです。,positive
部屋はキレイでスッキリ。,positive
お風呂とトイレは別。,neutral
温泉は本館?,neutral
繁華街にあり便利です。,positive
がゴロゴロ。,neutral
朝食はとてもよかった。,positive
朝食も種類が豊富で美味しかったです!,positive
スタッフの皆さんは親切でした。,positive
お部屋も広く快適に過ごすことができました。,positive
夕飯も十分満足でした。,positive
時代を感じます。,neutral
普通のビジネスホテルって感じでした。,neutral
朝食も美味しくて満足でした!,positive
二度目の大阪旅行。,neutral
接客も良かった!,positive
皆喜んでいました。,positive
誕生日の記念に宿泊しました。,neutral
エントランスからキレイ!,positive
コストパフォーマンス的には良かったです。,positive
期待以上のお宿でした!,positive
接客態度も良かったと思います。,positive
貸切風呂も楽しめました。,positive
お風呂も文句なしです。,positive
お風呂は広く気持ちよかったです。,positive
夕食も朝食も普通でした。,neutral
風呂は温泉です。,neutral
窓からの景色も最高。,positive
目の前にコンビニあり。,positive
年末年始に利用。,neutral
ゆっくりと楽しめました。,positive
温泉も広く気持ちよかったです。,positive
お腹いっぱい食べてしまいました。,positive
部屋は広くて快適!,positive
ゆっくりとした時間を過ごさせていただきました。,positive
量も多くお腹いっぱいになりました。,positive
部屋も清潔でとても過ごしやすかったです。,positive
ここは何度も利用しています。,positive
清潔でとても良いです。,positive
室内も清潔で快適でした。,positive
一人旅で利用いたしました。,positive
それ以外は◎。,neutral
次回もまたお世話になろうと思います。,positive
部屋からの景色も絶景でした。,positive
部屋も必要十分。,positive
今回で4泊、日帰り6回しました。,neutral
貸切りなので1度しか入れませんでした。,negative
午後9時すぎから朝8時までなので1000円くらいだといいですね。,negative
娘の誕生日のお祝いにディズニーランドへ行くために利用しました。,neutral
友達と、USJと大阪観光のため利用させていただきました。,neutral
チェックアウトの際も笑顔で見送ってくれて気持ち良かった。,positive
女性専用ルームだったので、アメニティーやナノスチーマーやフットマッサージまで。,positive
時間で管理してるなら案内出して欲しいです。,negative
チェックインを早める電話をした際も快く対応くださり、お部屋はお手洗い、水回り、隅々まで清潔でした。,positive
娘の入学式に出席するため、祖父母や親戚など7めいで宿泊しました。,neutral
お風呂は全て大変よかったです。,positive
一番の満足点はタイトルにもあるとおりコストパフォーマンスの良さではないでしょうか。,positive
"平日朝食つき7,020円で宿泊翌日竹生島へ行くための前泊で利用。",neutral
予約できるホテルを探しました。,neutral
確かに見た目の老朽化?,negative
お湯加減も丁度良く最高のお湯でした。,positive
朝食は、お粥とチーズオムレツをお願いし、サラダに、ヨーグルトとフルーツ三昧。,positive
市内在住なので、過去何度か宿泊しました。,neutral
母と娘を招待し女3人で新年初温泉を満喫しました。,positive
時間の経過を感じる建物ながらお掃除が隅々まで行き届いていて気持ち良く過ごせました。,positive
他にいいところが空いていればそっちを選択するかもですね。,neutral
そのお陰?,neutral
ただ朝のバイキングで席を指定され並んでいた所、私達の席を隣のテーブルとくっつけていて、家族連れが座りました。,neutral
とてもいい部屋でテンションが上がり、ランタン見て帰ったときの夜景で最高の気持ちになりました。,positive
土曜という事もあり、どこも宿泊料が高く、あまり空室もなし。,negative
またお風呂も自分には丁度良い温度で、ほっかほっかに温まり湯ざめもせず、旅の疲れもとれました。,positive
やはり温泉の魅力は大きいです。,positive
お部屋ではオーシャンビューで眺め最高!,positive
空港へのアクセスが大変楽です。,positive
あと、一番大事なのは、客用の冷蔵庫があり、細かいことを言わないのがメチャメチャいいです。,positive
そこがチョット残念な思いをしただけで他の食事、お風呂などは大変満足させていただきました。,neutral
ウエルカムドリンクも部屋でのデザートのサービスも良かったです。,positive
記念日プランのサプライズ大成功です!,positive
口コミで食事の評価が5点満点、逆に不安を感じていましたが、本当に美味しかったです。,positive
今回は出張で利用したのでバタバタでしたが、プライベートでゆっくり来てもいいと思えるリゾートホテルでした。,positive
外国の方も宿泊されるからか夕食時も朝食時もBGMはジャズでしたが、せめてさわやかな朝はlovesongはやめたほうが、、と思いました。,negative
食堂でもスタッフの方から1人用の席に案内されて、気兼ねなく食事をすることができました。,positive
贅沢を言えば、ヨーグルトがあると嬉しいです。,neutral
こちらのフロントの方の愛想が悪い上に、宿泊される外国人のマナーの悪さに迷惑してます。,negative
(お掃除はキチンとしていただいていました),positive
"料理もおいしかったし,お風呂の洗面付近の清潔感は素晴らしかったので,期待していかなければそれなりに満足できたのかもしれません。",neutral
もう少し工夫した方が集客にもなりいいのではーお湯はいいので食事が美味しくなれば又お邪魔したいです。,neutral
と口コミにあったのですが、麦とろご飯に小鉢がたくさんついてて、私には十分な量でした!,positive
夕方の柔らかい光の湖、突然の豪雨の稲妻と湖面、翌朝の晴れ晴れとした景色、空と山と湖の壮大な移り変わりを目の前にし、日頃の緊張がほぐれていきました。,positive
お部屋の電球が切れていたりもしたのですが、伝えるとすぐに対応して下さいましたし、不快なく過ごせました。,positive
いつも美味しいカニを、ありがとうございます!,positive
数人入るといっぱいなのでしばらく待ってからでないと露天風呂は入れませんでした。,negative
チェックインの際、フロントの方のやる気のない感じが伝わってきて、非常に残念でした。,negative
いつもよりすいていて静かでした。,positive
宿に着いたというより自宅に帰ってきたという安心感がありました。,positive
この金額でシャワーが赤青の蛇口じゃないところは初めてかも。,neutral
でも温泉がゆもとっても美味しかったしお風呂も何度も何度も入れて堪能しました。,positive
18時頃にチェックインしたのですが、宿までの道が暗く狭かったので途中道に迷ったかと思いました。,negative
私たち以外は全て海外の方々でした。,neutral
低反発枕みたいな、かたいけど身体に沿って沈む感じ。,neutral
というくらいのサービスの良さに感動しました。,positive
3オーシャンビューであるが前回は綺麗に晴れていてエーゲ海のような絶景であったが今回は少しもやがかかっていて残念であった。,negative
側にあるソファーの方が柔らかいほど...。,neutral
朝食時、始めにあったレモンケーキが、後から取りに行くとなくなっていて、札も皿も下げられてしまった。,negative
むしろ部屋はコンパクトにまとまっていて、ホテルも迷わない場所にあるので高く評価出来る。,positive
貸切風呂が利用できたので家族で気兼ねなくゆっくり入浴できました。,positive
"駐車場の料金は日額800円と明記されているのに、実際には900円更に11時チェックアウトのプランなのに10時以降の駐車場料金が加算され、トータル1,500円これなら宿泊費が安くてもその魅力が無くなります!",negative
チェックアウト12時のプランでしたが、10時までの料金をホテルで支払い、その後は精算機でとのことでした。,negative
初めての宿なので緊張しながら着くと、外観が薄汚れて一瞬引いてしまいました。,negative
見かけは古そうな宿でしたが(失礼!,neutral
4ヵ月の子どもと一緒の旅行だったので、部屋食にしたが、全体的に同じような味付けで、これ!,negative
まだ使ってない洗面所で、気になりました。,negative
小学生低学年には、多すぎるので、もったいない気がします。,negative
でも電車の音が気になって私はあまり眠れませんでした。,negative
フロント対応もきっちりやられており、朝ご飯も期待以上に種類あり、また朝一番チェックアウト前の仕事前の八時半に平和記念資料館へ散歩がてら行け、自分がとっては満足感あるホテルでした。,positive
また、お風呂のシャンプー&リンスの種類の多さにまたまたビックリ!!,positive
8時過ぎになると人が少なってきます。,neutral
フロントの方たちの笑顔があれば、90点なのですが、85点の満足の宿でした。,neutral
ホテル側の手違いということで、素晴らしく大きな部屋を利用出来ました。,positive
朝食はココス。,neutral
無料扱いにしても、定番ものはもう少し置いてあると良かったです。,negative
足だけでも温泉気分を味わえて、ありがたかったです。,positive
到着後すぐにトイレを使用したところ、蓋を開けると水が茶色く中に大便が残っていました。,negative
悪かった所:朝食。,negative
シャトルバスは北口。,neutral
また、朝は、朝食会場に行く人、チェックアウトの人が多くエレベーターを使います。,neutral
年に一度は来ています、夕食・朝食とても満足です、特にお米がおいしいです。,positive
部屋は4人部屋で大変広く、7人で2次会が出来ました、アジアンリゾート風ですね・・良かったですその他テニスやパターゴルフ、散策、夏はプールなどがあり宿泊者が楽しめる配慮が随所にありますが、子供いわくゲーセンは信じられない位しょぼい(笑),neutral
(バスタオルはありました),neutral
連休で満室なのに目の前の川のせせらぎをききながらゆっくりのんびり部屋食とお風呂も三才の子どもと入りましたが他のお客様と時間もずれてのんびり入れました。,positive
夜フルーツが無いのと、朝お粥が有れば年配の方は喜ぶと思います。,negative
丁寧な対応、また観光地の資料をチェックアウト時用意してくれており、そこには一言添えてある優しさに本当にいい思い出が出来ました。,positive
その時のメールでの対応はとってもよかったです。,positive
ただ、エレベーターが1台しかないので、夕飯後は仲居さんとエレベーター内で一緒になる事もあるので配膳用のエレベーターがあった方が良いと思います。,negative
チェックイン後、部屋に入るといきなり壁に虫が・・・。,negative
近くにコンビニ等もありあわてない旅にならお勧めできます。,positive
でも到着したらスタッフの丁寧な接客ときれいなお部屋で気分が晴れやかに。,positive
フロントも全く同じで何コールしてもでない。,negative
朝食のメニューも変わっていて前からあった和食・洋食にエビチーズドリアセット・ロコモコ丼セットの4種類になっていました。,neutral
あまりのマナーの悪さに、せっかくの食事も台無しに。,negative
場所もいいところだし、無料の駐車場もあるので今後も使いたいところ。,positive
大浴場が利用できたのが、ここに決めたポイントです。,neutral
あと、夕食時にソフトドリンクが有料なのはどうかと思いました。,negative
大人2人に小学低学年1人ではダブルベットが狭く私はベットの横の絨毯で寝ましたので添い寝するときはツインでベットがくっついてあるお部屋にした方がいいかなと思いました。,negative
又JAのスーパーが有り便利&お得に夕食を確保できました。,positive
当然、料理や部屋の清潔感も良かったですが、特に私たちを接客していただいた仲居さんがとても気さくな方で、親切で感じが良く、私たちが困っていることにもすぐ対応していただき、本当に気持ちよく宿泊させていただきました。,positive
ただ、大浴場は女性のほうはシャワーが2つしかないのに人を4人入れてしまうのは少し詰め込み過ぎじゃないかな?,negative
身体の大きい人は大変そう。,negative
ただチェックイン直後に部屋に入ると、館内用のスリッパが脱ぎ散らかしてあり愕然としました。,negative
やはり仕事の疲れを癒すのに大浴場はいいですね~,positive
ですが先程も述べたように立地は最高、駐車場もあり今後も利用したいと思います。,positive
他はパーフェクトです。,neutral
ほとんど寝るだけだったので、特に不便はありませんでした。,positive
髭剃りやシャンプーハットをつけるくらいなら、バスタオルを備え付けてもらった方が嬉しかったです。,negative
部屋ではのんびりできましたし、接客も良かったので、また機会があれば宿泊したいと思います。,positive
この宿に泊まって一番感じる事は、御主人、女将さんの人柄です。,neutral
部屋ツインにしてくれました。,neutral
従業員の方も皆さん感じかよく、帰りには清掃の方も気持ちよく挨拶してくださり最後迄良かったです。,positive
コスパ・建物・接客全体的にみて、かなり良い宿だったと思います!,positive
120センチのセミダブルでしたので、夫とふたりでもこれならOKと思いました。,positive
チッックインが遅くなることと雨が降っていたため夕食を済ませてからホテルに着きましたが、カレーのサービスを行っていました。,neutral
18:00の予約で入って料理をとったところ保温トレーの中の料理はどれもぬるい程度の温度で、松茸茶碗蒸しは容器が冷たい程で驚きました。,negative
残念だったのは評判の良かった朝食。,negative
部屋に戻ると布団が敷いてありました!,positive
予約では8~12階の部屋を予約してましたが最上階の部屋になっていました。,neutral
粉コーヒーでもいいのでいつでも飲めるようになってればなぁ。,negative
しかしカラオケは割引して下さり、子供は布団食事無しにしたのに布団も出して、浴衣まで貸して下さり良くして下さいました(*^^*),positive
全てはフロントの方の心遣いにあると思います。,positive
シングルルームを2部屋予約しましたが、当日部屋が空いてるとの事で大きな部屋に変更してくださいました。,positive
黒毛和牛の柔らかさに頬っぺたがおちました。,positive
しかしながらこのマイナス点を差し引いても、豪華絢爛で煌びやかなホテル施設には大満足。,positive
子どもが寝た後に一人で滝美の湯に行ったのですが綺麗で眺めも良くて最高でした!,positive
料理はみんなきれいに盛られ、おいしかったですが、なにか一つ地のもので、「ここでしか食べられない」とか「何か特化したもの」があったらさらに良かったと思います。,positive
お風呂場にタオルの設置があったらいいなと思うのと、朝食会場が宿泊者の人数の割に狭いのが少し惜しい気がしましたが、いいホテルに泊まって気持ちよく過ごせました。,positive
朝ごはんは子どもたちの分は食事なしにしていたのですが、ふりかけや取り皿、イスも準備して下さり、ご飯も美味しかったので、みんな残さずたくさん食べていました。,positive
料金も安く、大きな車の対応も良かったので、また那覇市街に泊まる際は利用したいと思います。,positive
・冷蔵庫有り。,neutral
名古屋に行くにも便利で、気がついてみれば、12時チェックアウトでノンビリもありがたかったです。,positive
繁忙・ハイシーズンと平常時と比べて、料金差が大きい。,negative
フロントから部屋までの荷物ケアのないシステムであるのは理解致しますが、ホテルの不手際で客を移動させるのに、何もケアがないのはびっくりしました。,negative
また、百笑の湯が近くにあり、宿泊者特典として大人1人:500円、子供1人:300円で宿泊の当日は何度でも入浴できるのは有難かったです。,positive
やっとの思いで浸かったあとは、とても体が温まり気持ちがよかったです。,positive
(共同の休憩室のみ。,neutral
夕食の前菜にはびっくりさせられた(笑),positive
朝食は長い列ができていたが、案外すぐに呼ばれた。,neutral
夕食時に、料理長さんが、かわいいプチケーキのお祝いを持ってきてくださいました。,positive
日の浅い恋人などでは音やにおいが気になるかも。,negative
残念なのは水が足りなくて船に乗れなかったことくらいです。,negative
特に朝ごはんは、申し分なしの最高です。,positive
海沿いの立地のためか日の出スポットらしく元旦に続々前回道路に人が集まってました。,neutral
ハイハイの子もいましたが、そのエリアで安全に遊ぶことができたので、とてもよかったです。,positive
金属がむき出し部分が有り何度かぶつけた。,negative
バイクでの旅行でしたが、軒下にバイクを止めさせて頂いて助かりました。,positive
基本的には銭湯の湯治客向けみたいな施設なのかな?,neutral
場所柄、辿り着くまでに呼び込みが多いので、そういう環境が苦手な人は少し場所を変えた宿を選んだほうがいいかもしれません。,negative
しいて言うと、女性は好きな浴衣を選べるのですが、もうちょっと種類があると嬉しいなと思いました。,neutral
あと、お宿横には酒屋さん!,neutral
迅速な宿の対応には深く感謝しています。,positive
温泉が深夜男女入替のため、チェックイン後とチェックアウト後に入浴すると両方楽しめます。,neutral
フロント、女将、みな作り笑いではなくたくさんの笑顔をもらいました。,positive
温泉チケット付きのプランでしたので目の前の温泉にいきました。,neutral
他は完璧だと思う。,neutral
夕食の際、誕生日の特別デザートを用意頂いたり、希望すればチャンチャンコを貸して頂くこともできるようでした。,neutral
(笑),neutral
また機会があれば利用したいと思います。,positive
2回目の利用です。,positive
お世話になりありがとうございました。,positive
家族旅行で利用させていただきました。,positive
今回初めて利用させていただきました。,neutral
また機会があれば利用させて頂きます。,positive
今回はありがとうございました。,positive
2泊しました。,neutral
素敵な時間をありがとうございました。,positive
【部屋】,neutral
朝食も良かったです。,positive
」と。,neutral
また機会があれば泊まりたいと思います。,positive
また次回も利用したいと思います。,positive
m(__)m,neutral
GWに利用しました。,neutral
先日はありがとうございました。,positive
それ以外は良かったです。,positive
部屋は普通です。,neutral
また機会があれば是非利用したいです。,positive
これからもよろしくお願いします。,positive
又利用します。,positive
1です。,neutral
^#),neutral
お風呂は良かったです。,positive
以上です。,neutral
今回もありがとうございました。,positive
次回もまた利用したいと思います。,positive
久しぶりに宿泊しました。,neutral
朝食はバイキングでした。,neutral
いつもお世話になります。,neutral
」と思いました。,neutral
朝食が美味しかったです。,positive
夏休みの家族旅行で利用しました。,neutral
お風呂も気持ちよかったです。,positive
部屋はきれいでした。,positive
スタッフの皆さんありがとうございました。,positive
バイクツーリングで利用しました。,neutral
これからも利用したいと思います。,positive
部屋も綺麗です。,positive
また利用したいと思ってます。,positive
全体的に良かったです。,positive
また行きたいお宿です。,positive
また使いたいです。,positive
部屋は狭いです。,negative
また利用しますね。,neutral
(́▽‘),neutral
接客もよかったです。,positive
また必ず利用します。,positive
どうもお世話になりました。,neutral
初めての宿泊です。,neutral
大浴場も良かったです。,positive
スタッフの方も親切でした。,positive
部屋は普通でした。,neutral
またいきたいです。,positive
また行きたいですね。,positive
また利用させて下さい。,positive
とても綺麗なホテルでした。,positive
大変ありがとうございました。,positive
フロントの対応は良かったです。,positive
また行きますね。,positive
部屋も綺麗で良かったです。,positive
素敵な思い出をありがとうございました。,positive
駅から近く便利でした。,positive
朝食のバイキングも美味しかったです。,positive
また宿泊したいホテルです。,positive
さすがです。,positive
コストパフォーマンスは最高です。,positive
又行きたいです。,positive
また行きたいと思っています。,positive
接客も丁寧で良かったです。,positive
とても良い旅行になりました。,positive
色々とありがとうございました。,neutral
急な出張で利用しました。,neutral
その節はありがとうございました。,positive
また利用させていただきたいと思いました。,positive
近くにコンビニもあります。,positive
ぜひまた利用させていただきたいと思います。,positive
夕食も朝食も美味しかったです。,positive
それが残念でした。,negative
コストパフォーマンスは良いと思います。,positive
また是非利用したいと思いました。,positive
その時は宜しくお願いします。,neutral
何度か利用してます。,neutral
味は美味しかったです。,positive
また利用させて貰います。,positive
また行こうと思います。,positive
何度か利用させてもらっています。,neutral
毎年利用しています。,positive
部屋は清潔感がありました。,positive
いつも出張で利用しています。,neutral
コンビニも近いです。,positive
二度と行きません。,negative
ディズニー旅行で利用しました。,neutral
と思うほどでした。,neutral
1人旅で利用しました。,neutral
東京出張で利用しました。,neutral
今後に期待します。,neutral
お風呂が最高でした。,positive
また食べたいです。,positive
フロントの方もとても親切でした。,positive
建物は古いです。,negative
朝食のパンも美味しかったです。,positive
部屋も広く快適でした。,positive
ありがとうござました。,neutral
タイトル通りです。,neutral
連泊でお世話になりました。,neutral
(^o^),neutral
5です。,neutral
また是非宿泊したいです。,positive
お風呂も綺麗でした。,positive
接客も丁寧です。,positive
お世話に成りました。,neutral
子連れで利用しました。,neutral
と驚きました。,neutral
駅から近いです。,positive
また利用したいなと思いました。,positive
またお世話になりたいと思いました。,positive
本当に残念です。,negative
何度目かの利用です。,neutral
それだけです。,neutral
本当に感謝です。,positive
アメニティも充実してました。,positive
露天風呂も良かったです。,positive
本当に有難う御座いました。,positive
また是非利用したいホテルです。,positive
値段相応です。,neutral
お風呂も広くて良かったです。,positive
また利用してみたいです。,positive
また泊まらせていただきます。,positive
と不安になりました。,negative
